.4	.35	.53	.63	.55	.56	.05	.37	.6	.2	.65	.2	.31	.1	.27	.65	.02	.26	.22	.85	.25	.65	.45	.02	.08	.88	.95	.92	.08	.55	.38	.65	.45	.4	.9	.24	.64	0	.42	.88	.05	.62	.6	.02	.26	.15	.55	.6	.49	.37	.44	.63	.21	.06	.08	.12	.15	.1	.2	.4	.58	.18	.57	.3	.57	.42	.22	.85	.18	.95	.72	.1	.04	.42	.65	.55	.5	.87	.55	.41	.67	.55	.3	.2	.2	.05	.4	.67	.25	.38	0	.23	.42	.15	.35	.15	.49	.61	.35	.31	.47
.5	.4	.43	.65	.8	.37	.45	.31	.8	.82	.2	.85	.52	.2	.43	.85	.45	.52	.75	.25	.3	.35	.3	.4	.4	.35	.35	.3	.45	.82	.05	.55	.65	.05	.35	.58	.42	.4	.1	.3	.05	.8	.12	.6	.35	.75	.2	.85	.58	.47	.05	.23	.24	.68	.56	.24	.8	.35	.5	.15	.75	.75	.48	.25	.29	.12	.85	.35	.8	.3	.35	.4	.18	.15	.82	.85	.35	.3	.54	.37	.85	.6	.6	.8	.2	.35	.6	.05	.85	.15	.45	.03	.05	.1	.05	.6	.42	.52	.69	.67	.47
-1	1	1	0	0	0	0	1	0	0	0	1	2	1	0	3	0	0	2	0	0	0	1	1	3	1	1	0	1	0	2	1	0	0	0	1	0	1	3	0	1	2	3	0	1	1	1	2	0	0	1	0	2	2	2	1	0	1	0	3	1	1	2	2	1	0	0	2	0	2	2	2	3	0	0	1	1	0	2	1	1	1	1	3	0	0	2	2	1	0	1	0	0	1	1	1	1	0	2	0	1
.4	.25	.22	.22	.2	.15	.08	.4	.95	.88	.85	.65	.42	.72	.25	.1	.63	.05	.27	.37	.63	.49	.57	.56	.55	.26	.35	.53	.55	.05	.6	.2	.65	.31	.65	.02	.85	.65	.45	.02	.08	.95	.92	.55	.38	.65	.45	.9	.24	.64	0	.42	.88	.62	.6	.02	.26	.55	.6	.49	.37	.44	.21	.06	.08	.12	.15	.1	.2	.4	.58	.18	.3	.57	.42	.18	.1	.04	.42	.55	.5	.87	.41	.67	.55	.3	.2	.2	.05	.4	.67	.38	0	.23	.15	.35	.15	.61	.35	.31	.47
.5	.85	.75	.85	.85	.75	.45	.05	.3	.35	.35	.82	.05	.35	.3	.2	.65	.05	.43	.31	.23	.42	.48	.37	.54	.52	.4	.43	.8	.45	.8	.82	.2	.52	.85	.45	.25	.35	.3	.4	.4	.35	.3	.82	.05	.55	.65	.35	.58	.42	.4	.1	.3	.8	.12	.6	.35	.2	.85	.58	.47	.05	.24	.68	.56	.24	.8	.35	.5	.15	.75	.75	.25	.29	.12	.8	.4	.18	.15	.85	.35	.3	.37	.85	.6	.6	.8	.2	.35	.6	.05	.15	.45	.03	.1	.05	.6	.52	.69	.67	.47
-1	1	2	0	1	1	1	0	2	1	2	0	0	2	0	1	0	1	0	1	0	1	2	0	2	0	1	1	0	0	0	0	0	2	3	0	0	0	1	1	3	1	0	0	2	1	0	0	1	0	1	3	0	2	3	0	1	1	2	0	0	1	2	2	2	1	0	1	0	3	1	1	2	1	0	0	2	3	0	1	1	0	1	1	1	1	3	0	0	2	2	0	1	0	1	1	1	0	2	0	1
.4	.25	.22	.22	.2	.15	.08	.05	0	.44	.42	.42	.4	.38	.95	.92	.9	.88	.87	.85	.65	.55	.18	.02	.42	.72	.55	.25	.55	.3	.1	.15	.45	.65	.65	.63	.02	.05	.49	.27	.37	.63	.21	.67	.37	.49	.57	.56	.55	.04	.26	.35	.53	.55	.6	.2	.31	.65	.85	.65	.45	.02	.08	.95	.55	.38	.24	.64	.88	.62	.6	.26	.6	.06	.08	.12	.15	.1	.2	.4	.58	.18	.57	.42	.1	.5	.41	.67	.3	.2	.2	.05	.4	0	.23	.15	.35	.61	.35	.31	.47
.5	.85	.75	.85	.85	.75	.45	.45	.4	.05	.1	.15	.05	.15	.3	.3	.35	.35	.3	.35	.82	.85	.8	.45	.05	.35	.2	.3	.6	.25	.2	.6	.65	.2	.55	.65	.6	.05	.58	.43	.31	.23	.24	.05	.47	.42	.48	.37	.54	.18	.52	.4	.43	.8	.8	.82	.52	.85	.25	.35	.3	.4	.4	.35	.82	.05	.58	.42	.3	.8	.12	.35	.85	.68	.56	.24	.8	.35	.5	.15	.75	.75	.29	.12	.4	.35	.37	.85	.6	.8	.2	.35	.6	.45	.03	.1	.05	.52	.69	.67	.47
-1	1	2	0	1	1	1	0	1	1	3	0	0	0	2	0	0	1	0	2	0	1	0	0	0	2	1	0	1	2	1	1	0	0	1	0	0	1	0	0	1	0	2	2	0	1	2	0	2	3	0	1	1	0	0	0	2	3	0	0	1	1	3	1	0	2	1	0	0	2	3	1	2	2	2	1	0	1	0	3	1	1	1	0	2	1	1	1	1	3	0	0	2	1	0	1	1	0	2	0	1
.4	.25	.22	.22	.2	.18	.15	.1	.08	.05	0	0	.44	.42	.42	.4	.4	.38	.95	.95	.92	.9	.88	.88	.87	.85	.85	.67	.65	.65	.6	.6	.58	.55	.55	.2	.18	.02	.42	.42	.72	.55	.25	.55	.5	.3	.1	.15	.45	.65	.45	.35	.41	.4	.35	.65	.63	.02	.05	.08	.47	.49	.27	.37	.63	.21	.24	.67	.37	.49	.61	.57	.56	.55	.04	.26	.53	.31	.65	.02	.08	.55	.38	.64	.62	.6	.26	.06	.12	.15	.1	.2	.57	.3	.2	.2	.05	.23	.15	.35	.31
